Sentença,Intenção,Normalização,Tokenização,Remoção_Stopwords,Lematização,GloVe,Word2Vec_CBOW,Word2Vec_Skip,FastText_CBOW,FastText_Skip,Votos,Eleito,Intenção_correspondente
gostaria de um conselho em relação as taxas da prefeitura,alteracao_taxa,gostaria de um conselho em relação as taxas da prefeitura,"['gostaria', 'de', 'um', 'conselho', 'em', 'relação', 'as', 'taxas', 'da', 'prefeitura']","['gostaria', 'conselho', 'relação', 'taxas', 'prefeitura']","['gostar', 'conselho', 'relação', 'taxar', 'prefeitura']",6.0,6.0,6.0,6.0,6.0,5,6.0,alteracao_taxa
quanto a prefeitura tem recebido através de impostos,arrecadacao_imposto,quanto a prefeitura tem recebido através de impostos,"['quanto', 'a', 'prefeitura', 'tem', 'recebido', 'através', 'de', 'impostos']","['quanto', 'prefeitura', 'recebido', 'através', 'impostos']","['quantum', 'prefeitura', 'receber', 'através', 'imposto']",39.0,39.0,39.0,39.0,39.0,5,39.0,arrecadacao_imposto
gostaria de saber sobre a distribuição de selo verde,producao_organica,gostaria de saber sobre a distribuição de selo verde,"['gostaria', 'de', 'saber', 'sobre', 'a', 'distribuição', 'de', 'selo', 'verde']","['gostaria', 'saber', 'sobre', 'distribuição', 'selo', 'verde']","['gostar', 'saber', 'sobrar', 'distribuição', 'selar', 'ver']",183.0,168.0,168.0,168.0,168.0,4,168.0,uso_produtos
o que fazer para aumentar a produção?,aumento_producao,o que fazer para aumentar a produção?,"['o', 'que', 'fazer', 'para', 'aumentar', 'a', 'produção']","['fazer', 'aumentar', 'produção']","['fazer', 'aumentar', 'produção']",54.0,54.0,54.0,54.0,54.0,5,54.0,aumento_producao
gostar de ajuda para diminuir a poluição,diminuicao_poluicao,gostar de ajuda para diminuir a poluição,"['gostar', 'de', 'ajuda', 'para', 'diminuir', 'a', 'poluição']","['gostar', 'ajuda', 'diminuir', 'poluição']","['gostar', 'ajudar', 'diminuir', 'poluição']",66.0,65.0,65.0,65.0,66.0,3,65.0,diminuicao_poluicao
qual é a poluição dos agricultores?,poluicao,qual é a poluição dos agricultores?,"['qual', 'é', 'a', 'poluição', 'dos', 'agricultores']","['poluição', 'agricultores']","['poluição', 'agricultor']",83.0,82.0,82.0,82.0,82.0,4,82.0,poluicao
dica para tratamento ambiental,tratamento_ambiental,dica para tratamento ambiental,"['dica', 'para', 'tratamento', 'ambiental']","['dica', 'tratamento', 'ambiental']","['dica', 'tratamento', 'ambiental']",159.0,159.0,159.0,159.0,159.0,5,159.0,tratamento_ambiental
gostaria de saber o quanto vou poluir,previsao_poluicao,gostaria de saber o quanto vou poluir,"['gostaria', 'de', 'saber', 'o', 'quanto', 'vou', 'poluir']","['gostaria', 'saber', 'quanto', 'vou', 'poluir']","['gostar', 'saber', 'quantum', 'ir', 'poluir']",115.0,115.0,115.0,115.0,115.0,5,115.0,previsao_poluicao
"não, tchau",encerramento_nao,"não, tchau","['não', 'tchau']",['tchau'],['tchau'],67.0,67.0,67.0,67.0,67.0,5,67.0,encerramento_nao
sou vereador,apresentacao_agente_vereador,sou vereador,"['sou', 'vereador']",['vereador'],['vereador'],19.0,19.0,19.0,27.0,19.0,4,19.0,apresentacao_agente_vereador
